blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,31,24,42,3.0416666666666665,24,31,45,2.225806451612903,360540,0,257824,392418,283373,700528,0,422492,0,136162,643913,534292,36.0,36.0
1,26,9,25,5.666666666666667,9,26,8,0.6538461538461539,270506,50967,0,169866,226052,116160,0,61230,83468,0,270506,167127,20.0,40.0
1,55,35,100,4.428571428571429,35,55,73,1.9636363636363636,0,204450,243472,177254,0,215820,283509,443754,526981,177254,0,456924,24.75,15.75
0,14,26,18,1.2307692307692308,26,14,44,5.0,54738,165144,173082,244208,411489,0,132860,452665,0,374728,278629,295664,36.0,38.0
0,8,21,7,0.7142857142857143,21,8,31,6.5,0,0,107498,288940,214560,0,45603,85041,37128,177712,144190,111228,40.0,36.0
1,28,15,45,4.866666666666666,15,28,20,1.25,0,242336,178388,473193,792746,0,415322,0,173306,273948,729118,242336,36.0,36.0
1,24,8,34,7.25,8,24,16,1.0,114936,47457,189116,116172,228825,91069,142805,185362,82280,47457,114936,91069,33.0,38.0
1,15,6,16,5.166666666666667,6,15,5,0.7333333333333333,114468,106385,26845,46953,162004,66220,54855,0,26845,0,185018,172605,36.0,36.0
1,42,37,83,3.3783783783783785,37,42,61,2.3333333333333335,492255,144378,550882,253312,0,1011645,0,205545,550882,0,492255,258416,36.0,37.0
1,47,31,64,3.5806451612903225,31,47,46,1.6382978723404256,0,0,201900,103284,203220,409374,244864,136058,0,103284,201900,409374,36.0,35.75
1,33,22,45,3.5454545454545454,22,33,33,1.6666666666666667,0,138983,161644,117228,416280,209215,165382,271271,108552,185068,577924,138983,38.0,38.4
0,8,22,25,1.5,22,8,51,9.125,140426,0,105552,0,216468,405840,92950,354659,67000,165816,318342,361206,34.0,34.0
0,23,43,33,1.302325581395349,43,23,27,3.0434782608695654,0,202695,209100,333018,305626,0,448911,631482,209100,0,305626,930363,30.666666666666668,27.0
0,8,26,9,0.6538461538461539,26,8,27,6.625,63260,0,38552,246496,0,256022,0,0,38552,45729,63260,232773,24.0,34.0
1,39,13,57,7.384615384615385,13,39,17,0.7692307692307693,91927,183693,179494,140491,168224,176198,140855,90178,91927,140491,168224,269713,31.5,34.0
0,18,35,21,1.1142857142857143,35,19,46,4.2631578947368425,202455,0,246732,146081,280878,414135,0,206805,103368,146081,483333,207330,33.5,37.0
0,17,26,27,1.6923076923076923,26,17,46,4.235294117647059,0,347186,200753,109920,0,171724,446242,170814,69440,109920,328803,518910,32.4,38.0
0,29,39,42,1.8205128205128205,39,29,62,3.4827586206896552,240576,393871,368136,263056,218520,132574,174972,252496,107784,132574,459096,393871,36.0,31.0
1,31,19,70,5.315789473684211,19,31,33,1.6774193548387097,366444,142636,538032,253904,854917,263008,0,440094,205860,142636,889189,0,32.0,34.5
1,31,15,33,4.266666666666667,15,31,22,1.1935483870967742,350896,229561,279322,247276,309164,0,162498,163688,109992,247276,328232,229561,33.0,36.8
0,36,38,31,1.763157894736842,38,36,52,2.5,0,0,208695,344652,484172,519652,163184,172144,314703,172508,378164,519652,33.0,33.75
1,28,31,39,2.161290322580645,31,28,42,2.607142857142857,567584,0,457744,457109,290343,562343,0,243584,201600,0,601783,562343,25.5,32.0
1,32,16,44,4.75,16,32,16,1.0,414720,623640,244304,391624,736920,0,0,246352,244304,0,1151640,1015264,26.0,40.0
